yuzuk,orta,isaret,bas,serce,command
3045,3415,2679,2568,3361,0
3047,3423,2684,2569,3358,0
3047,3429,2689,2576,3359,0
3042,3439,2687,2587,3334,0
3039,3411,2692,2567,3328,0
3035,3428,2682,2585,3323,0
3037,3439,2667,2574,3313,0
3047,3433,2676,2580,3323,0
3061,3432,2667,2571,3303,0
3073,3440,2706,2581,3264,0
3071,3437,2714,2586,3255,0
3069,3425,2685,2585,3240,0
3066,3442,2709,2586,3246,0
3089,3435,2705,2587,3285,0
3085,3438,2704,2583,3298,0
3083,3439,2715,2593,3327,0
3075,3432,2711,2587,3362,0
3067,3424,2704,2589,3351,0
3055,3421,2707,2588,3373,0
3043,3423,2697,2583,3377,0
3039,3419,2669,2587,3372,0
3028,3407,2656,2579,3354,0
3022,3403,2643,2578,3377,0
3007,3399,2646,2574,3413,0
3001,3396,2650,2569,3425,0
2998,3394,2651,2539,3434,0
2995,3397,2646,2568,3410,0
2995,3397,2648,2569,3404,0
2989,3398,2635,2563,3396,0
2987,3395,2634,2570,3385,0
2989,3383,2648,2572,3369,0
2978,3382,2673,2578,3331,0
2973,3385,2679,2579,3316,0
2970,3378,2688,2575,3313,0
2969,3381,2671,2582,3318,0
2965,3382,2670,2576,3361,0
2995,3395,2669,2580,3425,0
3059,3407,2659,2575,3498,0
3060,3409,2673,2566,3501,0
3075,3414,2667,2582,3510,0
3075,3419,2661,2585,3515,0
3079,3422,2653,2579,3517,0
3069,3418,2603,2570,3508,0
3063,3418,2574,2571,3495,0
3059,3410,2540,2561,3493,0
3059,3409,2521,2572,3496,0
3053,3425,2500,2583,3487,0
3051,3410,2517,2571,3493,0
3051,3407,2518,2552,3489,0
3051,3404,2521,2549,3487,0
3050,3405,2525,2547,3485,0
3049,3412,2525,2550,3485,0
3047,3394,2532,2550,3486,0
3049,3409,2525,2547,3484,0
3049,3407,2527,2545,3481,0
3047,3410,2528,2546,3487,0
3046,3409,2528,2543,3472,0
3046,3411,2524,2543,3481,0
3046,3408,2527,2546,3483,0
3045,3408,2526,2543,3480,0
3045,3408,2527,2545,3477,0
3047,3405,2527,2545,3481,0
3045,3402,2528,2541,3482,0
3045,3409,2506,2538,3489,0
3037,3415,2479,2502,3464,0
3033,3391,2470,2487,3487,0
3031,3404,2472,2488,3479,0
3031,3405,2469,2505,3482,0
3029,3409,2472,2500,3478,0
3029,3408,2476,2499,3479,0
3029,3407,2479,2497,3489,0
3029,3407,2483,2492,3479,0
3030,3404,2484,2490,3480,0
3030,3403,2491,2504,3477,0
3031,3409,2508,2495,3474,0
3027,3407,2522,2501,3470,0
3023,3404,2540,2511,3459,0
3033,3408,2541,2539,3441,0
3033,3414,2554,2538,3429,0
3025,3401,2557,2531,3407,0
3019,3396,2566,2530,3394,0
3018,3393,2547,2533,3396,0
3019,3398,2538,2528,3396,0
3015,3397,2549,2534,3375,0
3017,3393,2556,2532,3353,0
3007,3388,2561,2533,3324,0
2993,3390,2561,2532,3345,0
2971,3382,2573,2528,3372,0
2963,3407,2602,2518,3414,0
2992,3396,2593,2523,3454,0
3022,3409,2573,2495,3482,0
3019,3403,2558,2532,3484,0
3018,3400,2539,2524,3487,0
3017,3401,2541,2524,3483,0
3015,3399,2535,2533,3477,0
3014,3393,2535,2541,3481,0
3014,3393,2539,2521,3476,0
3012,3397,2533,2517,3473,0
2795,3286,3237,2595,2556,1
2791,3276,3263,2591,2521,1
2789,3286,3245,2583,2509,1
2793,3284,3276,2572,2505,1
2791,3289,3237,2640,2538,1
2792,3301,3244,2616,2538,1
2793,3289,3239,2619,2538,1
2793,3287,3238,2617,2539,1
2791,3288,3239,2620,2528,1
2793,3299,3260,2605,2535,1
2793,3285,3219,2609,2537,1
2793,3292,3236,2609,2539,1
2791,3285,3236,2607,2541,1
2790,3286,3214,2601,2526,1
2791,3285,3241,2613,2540,1
2789,3284,3234,2622,2531,1
2791,3279,3233,2615,2545,1
2791,3282,3236,2620,2531,1
2792,3285,3259,2619,2549,1
2791,3258,3225,2619,2547,1
2792,3287,3267,2628,2555,1
2793,3285,3233,2625,2547,1
2792,3287,3239,2627,2547,1
2793,3298,3241,2630,2552,1
2794,3283,3234,2628,2541,1
2793,3285,3237,2655,2566,1
2794,3289,3215,2639,2555,1
2794,3277,3238,2645,2547,1
2795,3290,3232,2645,2567,1
2795,3280,3232,2647,2560,1
2794,3291,3236,2648,2570,1
2794,3286,3239,2646,2566,1
2795,3288,3231,2642,2570,1
2791,3284,3234,2659,2560,1
2795,3283,3233,2638,2575,1
2793,3285,3233,2636,2573,1
2795,3283,3263,2680,2591,1
2798,3285,3237,2654,2598,1
2807,3313,3264,2641,2626,1
2889,3330,3292,2641,2666,1
2939,3374,3322,2628,2669,1
2985,3390,3369,2614,2686,1
3015,3398,3368,2615,2679,1
2923,3365,3322,2612,2662,1
2835,3343,3272,2617,2653,1
2801,3367,3268,2618,2643,1
2789,3376,3275,2619,2653,1
2789,3369,3270,2615,2638,1
2763,3311,3238,2612,2650,1
2739,3283,3222,2611,2710,1
2717,3269,3216,2597,2588,1
2729,3256,3222,2588,2537,1
2726,3249,3212,2587,2508,1
2732,3252,3207,2545,2510,1
2737,3260,3197,2579,2510,1
2742,3257,3205,2572,2569,1
2745,3259,3210,2615,2597,1
2745,3268,3200,2614,2617,1
2745,3259,3210,2673,2695,1
2763,3281,3179,2667,2643,1
2760,3279,3224,2668,2665,1
2758,3275,3217,2673,2663,1
2757,3275,3209,2672,2665,1
2757,3271,3217,2673,2663,1
2755,3273,3215,2667,2664,1
2759,3279,3212,2628,2668,1
2751,3273,3211,2636,2654,1
2748,3274,3206,2638,2628,1
2745,3272,3209,2647,2615,1
2741,3263,3204,2640,2604,1
